Short name,Long name,UN membership
Afghanistan,Islamic Republic of Afghanistan,UN member state
Albania,Republic of Albania,UN member state
Algeria,People's Democratic Republic of Algeria,UN member state
Andorra,Principality of Andorra,UN member state
Angola,Republic of Angola,UN member state
Antigua and Barbuda,,UN member state
Argentina,Argentine Republic,UN member state
Armenia,Republic of Armenia,UN member state
Australia,Commonwealth of Australia,UN member state
Austria,Republic of Austria,UN member state
Azerbaijan,Republic of Azerbaijan,UN member state
"Bahamas, The",Commonwealth of The Bahamas,UN member state
Bahrain,Kingdom of Bahrain,UN member state
Bangladesh,People's Republic of Bangladesh,UN member state
Barbados,,UN member state
Belarus,Republic of Belarus,UN member state
Belgium,Kingdom of Belgium,UN member state
Belize,,UN member state
Benin,Republic of Benin,UN member state
Bhutan,Kingdom of Bhutan,UN member state
Bolivia,Plurinational State of Bolivia,UN member state
Bosnia and Herzegovina,,UN member state
Botswana,Republic of Botswana,UN member state
Brazil,Federative Republic of Brazil,UN member state
Brunei,"Nation of Brunei, the Abode of Peace",UN member state
Bulgaria,Republic of Bulgaria,UN member state
Burkina Faso,,UN member state
Burundi,Republic of Burundi,UN member state
Cambodia,Kingdom of Cambodia,UN member state
Cameroon,Republic of Cameroon,UN member state
Canada,,UN member state
Cape Verde,Republic of Cabo Verde,UN member state
Central African Republic,,UN member state
Chad,Republic of Chad,UN member state
Chile,Republic of Chile,UN member state
China,People's Republic of China,UN member state
Colombia,Republic of Colombia,UN member state
Comoros,Union of the Comoros,UN member state
"Congo, Democratic Republic of the",,UN member state
"Congo, Republic of the",,UN member state
Costa Rica,Republic of Costa Rica,UN member state
Croatia,Republic of Croatia,UN member state
Cuba,Republic of Cuba,UN member state
Cyprus,Republic of Cyprus,UN member state
Czech Republic,,UN member state
Denmark,Kingdom of Denmark,UN member state
Djibouti,Republic of Djibouti,UN member state
Dominica,Commonwealth of Dominica,UN member state
Dominican Republic,,UN member state
East Timor,Democratic Republic of Timor-Leste,UN member state
Ecuador,Republic of Ecuador,UN member state
Egypt,Arab Republic of Egypt,UN member state
El Salvador,Republic of El Salvador,UN member state
Equatorial Guinea,Republic of Equatorial Guinea,UN member state
Eritrea,State of Eritrea,UN member state
Estonia,Republic of Estonia,UN member state
Eswatini,Kingdom of Eswatini,UN member state
Ethiopia,Federal Democratic Republic of Ethiopia,UN member state
Fiji,Republic of Fiji,UN member state
Finland,Republic of Finland,UN member state
France,French Republic,UN member state
Gabon,Gabonese Republic,UN member state
"Gambia, The",Republic of The Gambia,UN member state
Georgia,,UN member state
Germany,Federal Republic of Germany,UN member state
Ghana,Republic of Ghana,UN member state
Greece,Hellenic Republic,UN member state
Grenada,,UN member state
Guatemala,Republic of Guatemala,UN member state
Guinea,Republic of Guinea,UN member state
Guinea-Bissau,Republic of Guinea-Bissau,UN member state
Guyana,Co-operative Republic of Guyana,UN member state
Haiti,Republic of Haiti,UN member state
Honduras,Republic of Honduras,UN member state
Hungary,,UN member state
Iceland,,UN member state
India,Republic of India,UN member state
Indonesia,Republic of Indonesia,UN member state
Iran,Islamic Republic of Iran,UN member state
Iraq,Republic of Iraq,UN member state
Ireland,,UN member state
Israel,,UN member state
Italy,Italian Republic,UN member state
Ivory Coast,Republic of Côte d'Ivoire,UN member state
Jamaica,,UN member state
Japan,,UN member state
Jordan,Hashemite Kingdom of Jordan,UN member state
Kazakhstan,Republic of Kazakhstan,UN member state
Kenya,Republic of Kenya,UN member state
Kiribati,Republic of Kiribati,UN member state
"Korea, North",Democratic People's Republic of Korea,UN member state
"Korea, South",Republic of Korea,UN member state
Kuwait,State of Kuwait,UN member state
Kyrgyzstan,Kyrgyz Republic,UN member state
Laos,Lao People's Democratic Republic,UN member state
Latvia,Republic of Latvia,UN member state
Lebanon,Lebanese Republic,UN member state
Lesotho,Kingdom of Lesotho,UN member state
Liberia,Republic of Liberia,UN member state
Libya,State of Libya,UN member state
Liechtenstein,Principality of Liechtenstein,UN member state
Lithuania,Republic of Lithuania,UN member state
Luxembourg,Grand Duchy of Luxembourg,UN member state
Madagascar,Republic of Madagascar,UN member state
Malawi,Republic of Malawi,UN member state
Malaysia,,UN member state
Maldives,Republic of Maldives,UN member state
Mali,Republic of Mali,UN member state
Malta,Republic of Malta,UN member state
Marshall Islands,Republic of the Marshall Islands,UN member state
Mauritania,Islamic Republic of Mauritania,UN member state
Mauritius,Republic of Mauritius,UN member state
Mexico,United Mexican States,UN member state
Federated States of Micronesia,,UN member state
Moldova,Republic of Moldova,UN member state
Monaco,Principality of Monaco,UN member state
Mongolia,,UN member state
Montenegro,,UN member state
